mass,success,t_exp,t_rev
16.100000000000364,True,1,1
16.100000000000364,True,1,1
16.100000000000364,True,1,1
16.100000000000364,True,1,2
16.100000000002183,True,1,2
16.100000000002183,True,1,6
16.100000000002183,True,1,1
16.19999999999891,True,1,1
16.19999999999891,True,1,2
16.19999999999891,True,1,2
16.19999999999891,True,1,1
16.19999999999891,True,1,1
16.19999999999891,True,1,1
16.200000000000728,True,1,1
16.200000000000728,True,1,2
16.200000000000728,True,1,1
16.200000000000728,True,1,1
16.200000000000728,True,1,2
16.200000000000728,True,1,3
16.200000000000728,True,1,1
16.200000000002547,True,1,1
16.200000000002547,True,1,1
16.299999999997453,True,1,1
16.299999999997453,True,1,2
16.299999999997453,True,1,1
16.299999999997453,True,1,1
16.299999999999272,True,1,3
16.299999999999272,True,1,3
